Site Code,Site Name,"Site 
Type",Site Address,"Site 
Ownership",Operators Name,"Tower 
Height",Building Height,Land Area,On Air Date,Category,Longitude,Latitude,Access Type,Manual Distance,Access Permission Type,PG Installation Possibility,Region,"Region ID 
[AUTO FILL]",District,"District ID 
[AUTO FILL]",Div Sec ID,Lacal Authority ID,Police Station ID,DNS Office ID,"Current 
Status",SAQ Special Comment
AM0007,,,,,,120,,,2003-06-09,,7.300145,81.67763,,,,,Ampara,20,Ampara,20,,,,,On Air - Fiber_Connected_SLT VLL       ,Upgrades Resticted
AN0002,,,,,,40,,,2010-09-09,,8.330899,80.397645,,,,,gampaha,8,Anuradhapura,11,,,,,On Air    ,Written Access permission to be requested
BD0056,,,,,,55,,,2005-10-10,,6.987598,81.050948,,,,,Badulla,21,Badulla,21,,,,,WIP,
